award_year,season,player,nationality,position,squad,league,nineties,tackles_won,interceptions,blocks,clearances,prog_passes,tackle_pct,aerial_win_pct,psxg_net,save_pct
2025,2425,Trent Alexander-Arnold,eng ENG,DF,Liverpool,Premier League,26.3,50,31,36,55,232,46.7,18.8,,
2025,2425,Alfon,es ESP,"FW,MF",Celta Vigo,La Liga,15.2,3,5,27,5,22,33.3,17.6,,
2025,2425,Mohamed Ali Cho,fr FRA,"FW,MF",Nice,Ligue 1,18.0,9,5,23,8,59,33.3,32.5,,
2025,2425,Faride Alidou,de GER,"FW,MF",Hellas Verona,Serie A,0.8,0,1,0,3,1,,100.0,,
2025,2425,Alisson,br BRA,GK,Liverpool,Premier League,27.9,0,0,1,13,1,0.0,100.0,3.5,72.0
2025,2425,Tadeo Allende,ar ARG,FW,Celta Vigo,La Liga,0.0,0,0,1,0,0,,,,
2025,2425,Jim Allevinah,ga GAB,FW,Angers,Ligue 1,19.4,11,12,13,17,48,17.9,29.4,,
2025,2425,Dele Alli,eng ENG,MF,Como,Serie A,0.1,0,0,0,0,0,,,,
2025,2425,Thiago Almada,ar ARG,"MF,FW",Lyon,Ligue 1,10.6,8,7,6,6,97,33.3,33.3,,
2025,2425,Domingos André Ribeiro Almeida,pt POR,"MF,FW",Valencia,La Liga,22.0,32,8,17,14,142,35.9,25.0,,
2025,2425,Iker Almena,es ESP,"FW,DF",Girona,La Liga,0.5,0,0,2,2,2,0.0,,,
2025,2425,Miguel Almirón,py PAR,FW,Newcastle Utd,Premier League,1.7,2,0,2,0,6,66.7,0.0,,
2025,2425,Pontus Almqvist,se SWE,"FW,MF",Parma,Serie A,12.4,13,19,11,8,12,47.1,37.5,,
2025,2425,Marcos Alonso,es ESP,DF,Celta Vigo,La Liga,29.4,21,34,24,126,215,56.8,62.5,,
2025,2425,Giorgio Altare,it ITA,DF,Venezia,Serie A,8.4,12,17,2,49,20,53.3,52.8,,
2025,2425,Adrià Altimira,es ESP,"DF,FW",Leganés,La Liga,18.1,24,15,11,54,42,60.0,38.7,,
2025,2425,Sergi Altimira,es ESP,MF,Betis,La Liga,21.9,37,24,17,43,99,60.0,33.3,,
2025,2425,Olabade Aluko,,DF,Leicester City,Premier League,0.0,1,0,0,0,0,100.0,,,
2025,2425,Edson Álvarez,mx MEX,MF,West Ham,Premier League,19.7,27,18,10,46,85,48.6,56.6,,
2025,2425,Hugo Álvarez,es ESP,"MF,DF",Celta Vigo,La Liga,17.5,9,8,33,29,60,52.6,33.3,,
2025,2425,Julián Álvarez,ar ARG,FW,Atlético Madrid,La Liga,27.9,17,2,31,12,92,26.7,29.5,,
2025,2425,Yeray Álvarez,es ESP,DF,Athletic Club,La Liga,19.8,13,34,13,129,105,68.2,53.8,,
2025,2425,Skelly Alvero,fr FRA,MF,Werder Bremen,Bundesliga,2.6,6,2,3,10,8,80.0,62.5,,
2025,2425,Will Alves,eng ENG,FW,Leicester City,Premier League,0.0,0,0,0,0,0,,,,
2025,2425,Selim Amallah,ma MAR,MF,Valladolid,La Liga,15.3,18,14,9,5,57,55.6,23.8,,
2025,2425,Harry Amass,eng ENG,DF,Manchester Utd,Premier League,3.8,2,2,3,11,7,25.0,53.8,,
2025,2425,Amath,sn SEN,"FW,DF",Valladolid,La Liga,4.2,0,2,7,6,12,12.5,14.3,,
2025,2425,Jordan Amavi,fr FRA,DF,Brest,Ligue 1,8.8,17,7,13,18,36,71.4,71.4,,
2025,2425,Aurele Amenda,ch SUI,DF,Eint Frankfurt,Bundesliga,1.1,0,2,2,11,2,,72.7,,
2025,2425,Kelvin Amian,fr FRA,DF,Nantes,Ligue 1,24.1,31,13,24,85,73,82.9,50.0,,
2025,2425,Michael Amir Murillo,pa PAN,DF,Marseille,Ligue 1,27.1,31,18,32,70,140,69.6,71.2,,
2025,2425,Nadiem Amiri,de GER,MF,Mainz 05,Bundesliga,27.5,23,16,36,30,204,41.3,48.5,,
2025,2425,Samuel Amo-Ameyaw,eng ENG,"FW,DF",Southampton,Premier League,0.3,0,0,0,0,0,100.0,0.0,,
2025,2425,Samuel Amo-Ameyaw,eng ENG,"DF,MF",Strasbourg,Ligue 1,3.6,3,3,3,2,12,22.2,0.0,,
2025,2425,Mathis Amougou,fr FRA,MF,Chelsea,Premier League,0.1,0,0,0,0,1,,,,
2025,2425,Mathis Amougou,fr FRA,MF,Saint-Étienne,Ligue 1,9.5,15,12,4,4,36,52.6,20.0,,
2025,2425,Mohamed Amoura,dz ALG,FW,Wolfsburg,Bundesliga,27.4,22,9,42,24,61,37.8,29.7,,
2025,2425,Sofyan Amrabat,ma MAR,MF,Fiorentina,Serie A,2.0,2,0,0,2,14,100.0,50.0,,
2025,2425,Joachim Andersen,dk DEN,DF,Crystal Palace,Premier League,1.0,1,0,0,7,4,50.0,100.0,,
2025,2425,Joachim Andersen,dk DEN,DF,Fulham,Premier League,28.7,18,34,8,188,112,62.5,64.2,,
2025,2425,Elliot Anderson,eng ENG,MF,Nott'ham Forest,Premier League,30.3,56,31,35,76,143,43.2,65.1,,
2025,2425,André,br BRA,MF,Wolves,Premier League,27.5,55,37,14,30,109,58.7,25.0,,
2025,2425,Benjamin André,fr FRA,MF,Lille,Ligue 1,29.9,57,48,31,56,209,56.3,53.4,,
2025,2425,Marcos André,br BRA,FW,Valladolid,La Liga,13.2,6,3,5,10,16,38.5,51.6,,
2025,2425,Robert Andrich,de GER,"MF,DF",Leverkusen,Bundesliga,17.8,12,29,6,23,65,50.0,63.6,,
2025,2425,Angeliño,es ESP,DF,Roma,Serie A,35.3,24,28,25,98,172,50.0,52.6,,
2025,2425,Lorenzo Anghelè,it ITA,FW,Juventus,Serie A,0.1,0,0,0,0,1,,0.0,,
2025,2425,Faustino Anjorin,eng ENG,MF,Empoli,Serie A,12.4,13,13,8,20,55,50.0,37.5,,
2025,2425,Waldemar Anton,de GER,DF,Dortmund,Bundesliga,21.7,21,30,18,112,117,73.9,63.0,,
2025,2425,Leandro Antonetti,pr PUR,FW,Sevilla,La Liga,0.3,0,0,1,0,0,,,,
2025,2425,Kyllian Antonio,fr FRA,"DF,MF",Lens,Ligue 1,1.5,2,3,4,3,0,33.3,50.0,,
2025,2425,Michail Antonio,jm JAM,FW,West Ham,Premier League,9.3,2,0,14,2,18,66.7,43.6,,
2025,2425,Antoniu,es ESP,"FW,MF",Espanyol,La Liga,11.4,10,8,15,11,28,42.9,25.0,,
2025,2425,Antony,br BRA,"DF,MF",Manchester Utd,Premier League,1.6,3,2,1,0,6,40.0,0.0,,
2025,2425,Antony,br BRA,FW,Betis,La Liga,15.1,11,10,18,9,67,36.4,26.3,,
2025,2425,Anuar,ma MAR,"MF,FW",Valladolid,La Liga,19.1,27,18,6,26,30,53.6,39.7,,
2025,2425,Dennis Appiah,fr FRA,DF,Saint-Étienne,Ligue 1,23.6,43,29,43,89,108,57.7,46.6,,
2025,2425,Aritz Arambarri,es ESP,DF,Leganés,La Liga,2.0,1,3,1,8,2,100.0,42.9,,
2025,2425,Mauro Arambarri,uy URU,MF,Getafe,La Liga,29.6,29,15,14,46,75,45.8,52.2,,
2025,2425,Jon Aramburu,ve VEN,DF,Real Sociedad,La Liga,27.3,70,30,37,98,97,66.0,54.8,,
2025,2425,Julian Araujo,mx MEX,DF,Bournemouth,Premier League,5.5,5,6,2,18,14,41.7,25.0,,
2025,2425,Ronald Araújo,uy URU,DF,Barcelona,La Liga,8.4,9,9,0,25,49,80.0,62.3,,
2025,2425,Cameron Archer,eng ENG,FW,Southampton,Premier League,16.0,8,2,8,11,14,22.2,23.1,,
2025,2425,Carlens Arcus,ht HAI,DF,Angers,Ligue 1,22.7,35,27,20,83,70,60.7,55.4,,
2025,2425,Alphonse Areola,fr FRA,GK,West Ham,Premier League,25.1,2,0,3,15,1,66.7,100.0,-2.6,64.3
2025,2425,Adu Ares,es ESP,FW,Athletic Club,La Liga,0.2,0,0,1,0,3,0.0,,,
2025,2425,Jesús Areso,es ESP,DF,Osasuna,La Liga,34.2,38,8,63,92,106,69.6,58.7,,
2025,2425,David Argüelles,es ESP,MF,Getafe,La Liga,0.1,0,0,0,0,0,,,,
2025,2425,Joe Aribo,ng NGA,"MF,DF",Southampton,Premier League,22.4,33,20,15,32,75,48.6,51.0,,
2025,2425,Adam Armstrong,eng ENG,"FW,MF",Southampton,Premier League,13.9,3,3,12,8,21,21.4,35.7,,
2025,2425,Harrison Armstrong,eng ENG,MF,Everton,Premier League,0.5,0,0,0,1,1,0.0,0.0,,
2025,2425,José Arnaiz,es ESP,"FW,MF",Osasuna,La Liga,1.5,5,5,6,1,4,57.1,25.0,,
2025,2425,Hákon Arnar Haraldsson,is ISL,"MF,FW",Lille,Ligue 1,19.5,16,8,22,6,102,48.5,12.5,,
2025,2425,Marko Arnautović,at AUT,FW,Inter,Serie A,5.9,5,1,3,1,16,60.0,63.2,,
2025,2425,Maximilian Arnold,de GER,MF,Wolfsburg,Bundesliga,26.2,20,24,18,70,128,45.5,37.8,,
2025,2425,Jann-Fiete Arp,de GER,"FW,MF",Holstein Kiel,Bundesliga,7.9,10,3,8,8,21,30.8,13.3,,
2025,2425,Sergio Arribas,es ESP,DF,Betis,La Liga,1.0,4,3,2,4,1,85.7,100.0,,
2025,2425,Kepa Arrizabalaga,es ESP,GK,Bournemouth,Premier League,31.0,0,0,2,15,2,0.0,87.5,2.0,73.9
2025,2425,Arthur,br BRA,DF,Leverkusen,Bundesliga,8.4,11,9,13,29,25,50.0,45.5,,
2025,2425,Takuma Asano,jp JPN,"FW,MF",Mallorca,La Liga,11.7,9,6,13,9,20,54.5,16.1,,
2025,2425,Raúl Asencio,es ESP,DF,Real Madrid,La Liga,18.6,16,16,2,88,27,76.9,66.7,,
2025,2425,Marco Asensio,es ESP,MF,Aston Villa,Premier League,8.3,5,2,8,3,45,33.3,0.0,,
2025,2425,Marco Asensio,es ESP,"FW,MF",Paris S-G,Ligue 1,6.9,3,0,7,1,36,0.0,33.3,,
2025,2425,Kristjan Asllani,al ALB,MF,Inter,Serie A,10.9,3,9,3,13,55,36.4,57.1,,
2025,2425,Iago Aspas,es ESP,"FW,MF",Celta Vigo,La Liga,19.4,8,8,27,5,132,40.0,46.7,,
2025,2425,Yaser Asprilla,co COL,"FW,MF",Girona,La Liga,15.6,12,7,24,7,77,34.8,57.1,,
2025,2425,Lorenz Assignon,tg TOG,"DF,MF",Rennes,Ligue 1,26.2,27,25,38,74,116,44.2,63.3,,
2025,2425,Dehmaine Assoumani,fr FRA,"MF,FW",Nantes,Ligue 1,1.1,3,1,2,4,1,80.0,40.0,,
2025,2425,Valentin Atangana Edoa,fr FRA,MF,Reims,Ligue 1,31.7,50,37,14,64,93,73.7,58.0,,
2025,2425,Arthur Atta,fr FRA,"MF,FW",Udinese,Serie A,13.9,12,7,22,15,57,66.7,41.2,,
2025,2425,Noah Atubolu,de GER,GK,Freiburg,Bundesliga,25.6,0,0,1,13,2,,90.9,0.0,69.2
2025,2425,Emil Audero,id IDN,GK,Como,Serie A,8.0,0,0,0,4,0,0.0,66.7,-5.6,58.8
2025,2425,Tommaso Augello,it ITA,DF,Cagliari,Serie A,30.1,28,16,50,109,118,69.8,69.0,,
2025,2425,Carlos Augusto,br BRA,DF,Inter,Serie A,18.1,14,9,19,50,80,63.2,62.0,,
2025,2425,Yann Aurel Bisseck,de GER,DF,Inter,Serie A,17.3,11,17,16,64,93,68.8,75.8,,
2025,2425,Brandon Austin,eng ENG,GK,Tottenham,Premier League,1.0,0,0,0,1,0,,100.0,0.2,50.0
2025,2425,Ezequiel Ávila,ar ARG,FW,Betis,La Liga,7.5,3,2,9,8,18,40.0,42.9,,
2025,2425,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,Premier League,4.6,3,0,4,7,7,80.0,25.5,,
2025,2425,Yasin Ayari,se SWE,MF,Brighton,Premier League,21.8,32,20,14,26,75,46.4,44.4,,
2025,2425,Florian Ayé,fr FRA,FW,Auxerre,Ligue 1,6.4,2,7,5,6,7,0.0,26.0,,
2025,2425,André Ayew,gh GHA,FW,Le Havre,Ligue 1,16.1,10,3,10,21,18,53.8,37.0,,
2025,2425,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,Premier League,0.2,0,0,0,0,0,,50.0,,
2025,2425,Jordan Ayew,gh GHA,"FW,MF",Leicester City,Premier League,18.2,15,12,11,19,46,30.4,31.6,,
2025,2425,Neil El Aynaoui,fr FRA,MF,Lens,Ligue 1,17.6,21,30,17,29,75,35.3,61.5,,
2025,2425,Ayman Azhil,ma MAR,MF,Dortmund,Bundesliga,0.3,1,0,1,0,1,,,,
2025,2425,Adam Aznou,ma MAR,DF,Valladolid,La Liga,9.7,21,10,12,30,25,48.8,73.3,,
2025,2425,Adam Aznou,ma MAR,DF,Bayern Munich,Bundesliga,0.2,0,0,0,1,1,,0.0,,
2025,2425,César Azpilicueta,es ESP,DF,Atlético Madrid,La Liga,9.7,14,5,4,32,66,73.9,50.0,,
2025,2425,Paulo Azzi,br BRA,DF,Cagliari,Serie A,4.7,9,5,4,11,13,55.6,54.5,,
2025,2425,Oussama El Azzouzi,ma MAR,MF,Bologna,Serie A,0.2,0,2,0,0,4,,,,
2025,2425,Papa Ba,es ESP,MF,Girona,La Liga,0.5,1,0,3,1,0,,,,
2025,2425,Shavy Babicka,ga GAB,"MF,FW",Toulouse,Ligue 1,13.2,12,3,12,4,21,47.6,29.2,,
2025,2425,Jacopo Bacci,it ITA,MF,Empoli,Serie A,0.3,0,1,1,1,1,100.0,100.0,,
2025,2425,Aliou Badara Baldé,gn GUI,"MF,FW",Bochum,Bundesliga,1.0,1,0,1,0,1,,0.0,,
2025,2425,Loïc Bade,fr FRA,DF,Sevilla,La Liga,29.8,27,29,9,162,62,74.2,68.4,,
2025,2425,Milan Badelj,hr CRO,MF,Genoa,Serie A,16.4,16,20,10,43,83,42.9,62.5,,
2025,2425,Benoît Badiashile,fr FRA,DF,Chelsea,Premier League,3.7,6,6,0,12,17,80.0,80.0,,
2025,2425,Alex Baena,es ESP,"MF,FW",Villarreal,La Liga,28.8,15,22,41,22,189,25.6,45.7,,
2025,2425,Juma Bah,sl SLE,DF,Valladolid,La Liga,9.6,7,12,3,60,13,60.0,70.5,,
2025,2425,Juma Bah,sl SLE,DF,Lens,Ligue 1,7.6,10,17,1,47,9,71.4,79.3,,
2025,2425,Leon Bailey,jm JAM,"FW,MF",Aston Villa,Premier League,12.7,5,3,24,12,35,27.3,40.0,,
2025,2425,Eric Bailly,ci CIV,DF,Villarreal,La Liga,6.9,4,6,1,29,18,75.0,61.1,,
2025,2425,Theo Bair,ca CAN,FW,Auxerre,Ligue 1,10.4,3,3,5,10,16,0.0,54.5,,
2025,2425,Stefan Bajcetic,es ESP,"MF,DF",Las Palmas,La Liga,10.8,14,15,8,26,39,42.9,56.7,,
2025,2425,Cédric Bakambu,cd COD,FW,Betis,La Liga,7.9,4,0,7,5,14,42.9,31.6,,
2025,2425,Mitchel Bakker,nl NED,MF,Atalanta,Serie A,0.2,0,0,0,0,1,100.0,50.0,,
2025,2425,Mitchel Bakker,nl NED,"FW,DF",Lille,Ligue 1,12.7,13,12,14,15,57,52.6,23.1,,
2025,2425,Darryl Bakola,fr FRA,"DF,MF",Marseille,Ligue 1,0.2,1,0,0,0,0,,,,
2025,2425,Ridle Baku,de GER,"FW,MF",Wolfsburg,Bundesliga,13.0,15,15,22,15,44,42.1,23.8,,
2025,2425,Ridle Baku,de GER,"DF,MF",RB Leipzig,Bundesliga,14.2,19,9,22,45,41,39.1,37.0,,
2025,2425,Dilane Bakwa,fr FRA,"MF,DF",Strasbourg,Ligue 1,27.7,14,15,23,27,129,50.0,57.9,,
2025,2425,Tommaso Baldanzi,it ITA,"MF,FW",Roma,Serie A,9.2,4,6,14,8,23,33.3,25.0,,
2025,2425,Alejandro Balde,es ESP,DF,Barcelona,La Liga,25.4,10,5,28,27,93,64.7,64.0,,
2025,2425,Keita Baldé,sn SEN,FW,Monza,Serie A,7.1,1,2,4,0,35,50.0,31.3,,
2025,2425,Carlos Baleba,cm CMR,MF,Brighton,Premier League,29.6,46,46,14,44,118,60.0,60.0,,
2025,2425,Leonardo Balerdi,ar ARG,DF,Marseille,Ligue 1,25.3,39,38,12,72,105,57.4,65.0,,
2025,2425,Iván Balliu,al ALB,DF,Rayo Vallecano,La Liga,13.3,14,13,20,39,46,33.3,35.0,,
2025,2425,Fodé Ballo-Touré,sn SEN,"DF,MF",Le Havre,Ligue 1,6.5,7,4,11,27,13,55.6,44.4,,
2025,2425,Botond Balogh,hu HUN,DF,Parma,Serie A,22.8,16,25,8,141,37,71.4,54.0,,
2025,2425,Folarin Balogun,us USA,FW,Monaco,Ligue 1,6.8,1,1,6,0,9,0.0,16.7,,
2025,2425,Mario Balotelli,it ITA,"FW,MF",Genoa,Serie A,0.7,0,0,1,1,1,,50.0,,
2025,2425,Abdoulaye Bamba,ci CIV,DF,Angers,Ligue 1,16.8,12,19,4,79,16,73.7,39.3,,
2025,2425,Jonathan Bamba,ci CIV,"FW,MF",Celta Vigo,La Liga,9.0,7,5,12,6,30,41.7,33.3,,
2025,2425,Mohamed Bamba,ci CIV,MF,Reims,Ligue 1,0.1,0,0,1,1,3,0.0,0.0,,
2025,2425,Samuel Bamba,de GER,"FW,MF",Bochum,Bundesliga,0.3,1,0,1,0,5,,33.3,,
2025,2425,Lameck Banda,zm ZAM,"FW,MF",Lecce,Serie A,6.8,5,2,3,8,7,25.0,13.3,,
2025,2425,Daniel Bandeira,pt POR,MF,Hellas Verona,Serie A,4.5,0,6,1,8,25,50.0,70.0,,
2025,2425,Mattia Bani,it ITA,DF,Genoa,Serie A,16.7,10,22,5,85,25,63.6,48.9,,
