award_year,season,player,nationality,position,squad,league,nineties,tackles_won,interceptions,blocks,clearances,prog_passes,tackle_pct,aerial_win_pct,psxg_net,save_pct
2025,2425,Max Aarons,eng ENG,DF,Bournemouth,Premier League,1.0,2,1,1,0,8,100.0,,,
2025,2425,Max Aarons,eng ENG,"DF,MF",Valencia,La Liga,1.3,4,0,1,3,6,80.0,66.7,,
2025,2425,Rodrigo Abajas,es ESP,DF,Valencia,La Liga,0.7,2,1,2,0,2,100.0,0.0,,
2025,2425,James Abankwah,ie IRL,"DF,MF",Udinese,Serie A,1.0,2,1,0,3,4,66.7,50.0,,
2025,2425,Keyliane Abdallah,fr FRA,FW,Marseille,Ligue 1,0.0,1,0,0,0,0,100.0,,,
2025,2425,Yunis Abdelhamid,ma MAR,DF,Saint-Étienne,Ligue 1,11.5,11,14,1,57,22,62.5,65.5,,
2025,2425,Himad Abdelli,dz ALG,"MF,FW",Angers,Ligue 1,31.6,32,26,31,28,207,31.3,39.4,,
2025,2425,Mohamed Abdelmoneim,eg EGY,DF,Nice,Ligue 1,9.5,14,15,2,56,52,59.1,62.0,,
2025,2425,Ali Abdi,tn TUN,"DF,MF",Nice,Ligue 1,15.5,25,20,22,37,42,65.1,61.1,,
2025,2425,Saud Abdulhamid,sa KSA,DF,Roma,Serie A,2.3,2,2,3,0,9,100.0,0.0,,
2025,2425,Abel,es ESP,DF,Osasuna,La Liga,23.0,37,18,47,64,77,61.9,54.1,,
2025,2425,Nabil Aberdin,fr FRA,MF,Getafe,La Liga,2.9,4,0,3,5,6,100.0,76.9,,
2025,2425,Oliver Abildgaard,dk DEN,MF,Como,Serie A,0.1,0,0,0,0,0,,,,
2025,2425,Matthis Abline,fr FRA,FW,Nantes,Ligue 1,30.8,5,4,27,36,48,33.3,45.7,,
2025,2425,Abner,br BRA,DF,Lyon,Ligue 1,12.1,20,5,19,41,66,65.6,43.8,,
2025,2425,Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,Ligue 1,21.1,13,6,14,9,22,17.4,36.7,,
2025,2425,Abdel Abqar,ma MAR,DF,Alavés,La Liga,27.4,23,39,6,146,79,58.8,53.3,,
2025,2425,Tammy Abraham,eng ENG,FW,Roma,Serie A,0.0,0,0,0,0,1,0.0,100.0,,
2025,2425,Tammy Abraham,eng ENG,FW,Milan,Serie A,13.1,11,2,6,16,26,75.0,52.2,,
2025,2425,Federico Accornero,it ITA,MF,Genoa,Serie A,0.1,0,0,1,0,0,,0.0,,
2025,2425,Francesco Acerbi,it ITA,DF,Inter,Serie A,19.0,19,26,5,81,62,64.7,67.0,,
2025,2425,Joshua Acheampong,eng ENG,DF,Chelsea,Premier League,1.9,1,1,2,2,8,100.0,14.3,,
2025,2425,Akor Adams,ng NGA,FW,Sevilla,La Liga,1.5,0,0,0,1,5,,37.5,,
2025,2425,Akor Adams,ng NGA,FW,Montpellier,Ligue 1,11.9,3,1,7,5,6,75.0,50.9,,
2025,2425,Che Adams,sct SCO,FW,Torino,Serie A,29.5,6,2,17,18,40,14.3,36.7,,
2025,2425,Tyler Adams,us USA,MF,Bournemouth,Premier League,21.8,50,32,14,42,76,54.2,63.3,,
2025,2425,Junior Adamu,at AUT,FW,Freiburg,Bundesliga,17.2,3,12,12,20,14,27.3,32.9,,
2025,2425,Tosin Adarabioyo,eng ENG,DF,Chelsea,Premier League,15.7,13,11,3,80,42,66.7,60.0,,
2025,2425,Martin Adeline,fr FRA,MF,Reims,Ligue 1,0.3,1,0,0,2,0,50.0,0.0,,
2025,2425,Karim Adeyemi,de GER,"FW,MF",Dortmund,Bundesliga,15.9,14,7,20,5,28,40.0,40.9,,
2025,2425,Simon Adingra,ci CIV,"FW,MF",Brighton,Premier League,12.2,14,8,12,6,18,38.5,63.6,,
2025,2425,Amine Adli,ma MAR,"MF,FW",Leverkusen,Bundesliga,8.5,9,0,14,4,24,36.4,44.7,,
2025,2425,Yacine Adli,fr FRA,MF,Fiorentina,Serie A,13.5,19,6,12,19,103,43.6,23.8,,
2025,2425,Adrián,es ESP,GK,Betis,La Liga,19.0,0,0,4,14,0,0.0,66.7,-1.0,65.8
2025,2425,Adryelson,br BRA,DF,Lyon,Ligue 1,0.0,0,1,0,1,1,,100.0,,
2025,2425,Vasilije Adžić,me MNE,"MF,FW",Juventus,Serie A,0.5,2,0,1,0,1,0.0,40.0,,
2025,2425,Michel Aebischer,ch SUI,MF,Bologna,Serie A,8.0,13,7,4,6,33,71.4,35.7,,
2025,2425,Oladapo Afolayan,eng ENG,"FW,MF",St. Pauli,Bundesliga,18.2,8,8,31,20,32,36.8,29.7,,
2025,2425,Emmanuel Agbadou,ci CIV,DF,Wolves,Premier League,15.7,19,12,5,90,31,65.0,56.5,,
2025,2425,Emmanuel Agbadou,ci CIV,DF,Reims,Ligue 1,14.0,17,19,4,64,77,73.1,62.1,,
2025,2425,Asher Agbinone,eng ENG,MF,Crystal Palace,Premier League,0.1,1,0,0,0,0,,0.0,,
2025,2425,Jeremy Agbonifo,se SWE,"FW,MF",Lens,Ligue 1,3.3,6,1,4,0,6,42.9,10.0,,
2025,2425,Julen Agirrezabala,es ESP,GK,Athletic Club,La Liga,13.4,0,0,0,4,0,0.0,100.0,1.5,76.5
2025,2425,Lucien Agoume,fr FRA,MF,Sevilla,La Liga,23.5,32,41,16,42,135,69.2,51.2,,
2025,2425,Felix Agu,ng NGA,DF,Werder Bremen,Bundesliga,19.5,14,21,26,48,43,52.2,41.2,,
2025,2425,Álvaro Aguado,es ESP,MF,Espanyol,La Liga,4.9,2,4,5,5,37,33.3,60.0,,
2025,2425,Lorenzo Aguado,es ESP,DF,Real Madrid,La Liga,0.1,0,0,0,2,0,,,,
2025,2425,Nayef Aguerd,ma MAR,DF,Real Sociedad,La Liga,19.6,24,13,10,91,75,66.7,65.6,,
2025,2425,Ruben Aguilar,fr FRA,"DF,MF",Lens,Ligue 1,12.5,18,13,29,23,74,61.5,38.5,,
2025,2425,Naouirou Ahamada,fr FRA,"MF,FW",Rennes,Ligue 1,0.6,0,2,0,2,1,,0.0,,
2025,2425,Honest Ahanor,it ITA,"DF,MF",Genoa,Serie A,3.0,5,1,3,9,3,70.0,62.5,,
2025,2425,Erik Ahlstrand,se SWE,"FW,MF",St. Pauli,Bundesliga,0.5,0,1,0,1,1,,0.0,,
2025,2425,Jean-Eudes Aholou,ci CIV,MF,Angers,Ligue 1,21.8,36,33,9,32,68,45.8,62.3,,
2025,2425,Joseph Aidoo,gh GHA,DF,Valladolid,La Liga,6.5,5,5,3,26,14,66.7,52.9,,
2025,2425,Joseph Aidoo,gh GHA,DF,Celta Vigo,La Liga,0.0,0,0,1,0,1,,,,
2025,2425,Ayman Aiki,fr FRA,"FW,MF",Saint-Étienne,Ligue 1,1.4,3,1,1,0,5,100.0,20.0,,
2025,2425,Ola Aina,ng NGA,DF,Nott'ham Forest,Premier League,33.3,42,33,46,115,107,56.3,40.6,,
2025,2425,Rayan Aït-Nouri,dz ALG,DF,Wolves,Premier League,34.5,57,26,42,75,108,61.4,42.3,,
2025,2425,Junior Ajayi,ci CIV,FW,Hellas Verona,Serie A,0.1,0,0,0,0,1,,,,
2025,2425,Kristoffer Ajer,no NOR,DF,Brentford,Premier League,16.0,18,12,18,50,56,51.9,54.0,,
2025,2425,Ludovic Ajorque,fr FRA,FW,Brest,Ligue 1,27.7,19,6,16,26,41,31.3,52.4,,
2025,2425,Manuel Akanji,ch SUI,DF,Manchester City,Premier League,22.4,12,9,6,64,158,64.7,47.6,,
2025,2425,Ümit Akdag,ro ROU,DF,Toulouse,Ligue 1,5.6,4,11,9,19,29,41.7,72.0,,
2025,2425,Nathan Aké,nl NED,DF,Manchester City,Premier League,7.5,7,3,3,22,50,66.7,56.5,,
2025,2425,Ilias Akhomach,ma MAR,"MF,FW",Villarreal,La Liga,6.5,7,3,7,13,12,50.0,50.0,,
2025,2425,Sergio Akieme,es ESP,DF,Reims,Ligue 1,28.0,23,17,19,97,86,61.1,42.2,,
2025,2425,Maghnes Akliouche,fr FRA,"FW,MF",Monaco,Ligue 1,26.7,31,15,34,13,173,46.3,17.9,,
2025,2425,Paul Akouokou,ci CIV,MF,Lyon,Ligue 1,0.2,0,1,1,0,1,,,,
2025,2425,Clément Akpa,ci CIV,DF,Auxerre,Ligue 1,27.6,34,42,20,141,74,67.4,55.1,,
2025,2425,Jean-Daniel Akpa-Akpro,ci CIV,MF,Monza,Serie A,10.7,18,13,13,16,19,42.9,42.3,,
2025,2425,David Akpan Ankeye,ng NGA,"FW,MF",Genoa,Serie A,0.5,0,0,0,1,1,0.0,0.0,,
2025,2425,Kevin Akpoguma,ng NGA,DF,Hoffenheim,Bundesliga,24.7,27,29,10,115,98,65.2,50.5,,
2025,2425,Chuba Akpom,eng ENG,FW,Lille,Ligue 1,7.1,5,0,8,3,7,33.3,60.7,,
2025,2425,David Alaba,at AUT,DF,Real Madrid,La Liga,3.5,0,6,2,7,7,,80.0,,
2025,2425,Ibrahim Alani,ng NGA,MF,Valladolid,La Liga,1.8,7,1,0,1,5,66.7,75.0,,
2025,2425,Andreas Albers,dk DEN,FW,St. Pauli,Bundesliga,0.7,1,0,0,1,3,0.0,45.5,,
2025,2425,Raúl Albiol,es ESP,DF,Villarreal,La Liga,13.2,9,6,3,69,34,60.0,67.4,,
2025,2425,Carlos Alcaraz,ar ARG,MF,Southampton,Premier League,0.1,0,1,0,0,6,,100.0,,
2025,2425,Carlos Alcaraz,ar ARG,"FW,MF",Everton,Premier League,8.5,5,5,10,10,42,27.3,63.6,,
2025,2425,Omar Alderete,py PAR,DF,Getafe,La Liga,33.0,29,40,14,241,112,66.7,66.4,,
2025,2425,Carles Aleñá,es ESP,"MF,FW",Getafe,La Liga,5.0,3,0,1,7,12,30.8,52.6,,
2025,2425,Carles Aleñá,es ESP,"MF,FW",Alavés,La Liga,12.1,12,2,21,4,58,41.2,60.0,,
2025,2425,Ben Alexander Voll,de GER,GK,St. Pauli,Bundesliga,1.0,0,0,0,0,0,,,0.4,60.0
